帮我推荐一下附近的川菜馆	Food-Query
今天晚上吃什么比较好呢	Food-Query
有没有适合情侣约会的餐厅推荐	Food-Query
附近有什么好吃的小吃	Food-Query
帮我找一下评分高的日料店	Food-Query
最近有什么新品上市吗	shopping-Query
帮我查一下这个商品的价格	shopping-Query
哪里可以买到性价比高的电子产品	shopping-Query
最近有什么促销活动吗	shopping-Query
帮我比较一下这两款手机的区别	shopping-Query
感冒了应该吃什么药	Health-Query
最近总是失眠怎么办	Health-Query
如何保持健康的生活方式	Health-Query
每天应该喝多少水	Health-Query
有没有适合上班族的健身方法	Health-Query
今年高考的分数线是多少	Education-Query
帮我找一下附近的培训机构	Education-Query
如何提高英语口语能力	Education-Query
小学生应该如何学习编程	Education-Query
考研需要做哪些准备	Education-Query
最近有什么好看的电影推荐	Entertainment-Query
帮我找一下这个明星的最新动态	Entertainment-Query
周末有什么好玩的地方推荐	Entertainment-Query
最近有什么热门的综艺节目	Entertainment-Query
帮我查一下这个演唱会的门票信息	Entertainment-Query
如何理财才能获得更高的收益	Finance-Query
最近的股票市场怎么样	Finance-Query
帮我查一下这个基金的净值	Finance-Query
如何申请信用卡	Finance-Query
个人所得税如何计算	Finance-Query
如何添加微信好友	Social-Query
帮我找一下这个朋友的联系方式	Social-Query
最近有什么社交活动推荐	Social-Query
如何在社交场合中表现得更自信	Social-Query
如何处理人际关系中的矛盾	Social-Query
如何提高工作效率	Work-Query
帮我写一份工作总结	Work-Query
如何与同事相处融洽	Work-Query
面试时应该注意什么	Work-Query
如何制定工作计划	Work-Query
如何提高学习成绩	Study-Query
帮我找一下这个知识点的学习资料	Study-Query
如何高效备考	Study-Query
学习时注意力不集中怎么办	Study-Query
如何平衡学习和娱乐的时间	Study-Query
最近有什么体育比赛	Sports-Query
帮我查一下这个球队的最新战绩	Sports-Query
如何提高篮球技术	Sports-Query
最近的奥运会什么时候举行	Sports-Query
帮我找一下这个运动员的资料	Sports-Query
帮我推荐一下适合夏天吃的水果	Food-Query
